Leeftijd (op 31 december);Perioden;Mannen;Vrouwen
57;2016;0.00519;0.0043
57;2017;0.00455;0.00329
57;2018;0.00491;0.00387
57;2019;0.00442;0.0034
58;2011;0.00603;0.00448
58;2012;0.00609;0.00481
58;2013;0.0061;0.00408
58;2014;0.00554;0.00423
58;2015;0.00543;0.00425
58;2016;0.0051;0.00436
58;2017;0.00526;0.00435
58;2018;0.00538;0.00403
58;2019;0.00504;0.00368
59;2011;0.00717;0.00479
59;2012;0.0068;0.00491
59;2013;0.0068;0.00464
59;2014;0.00605;0.00472
59;2015;0.00632;0.00465
59;2016;0.00585;0.00464
59;2017;0.00601;0.00441
59;2018;0.00576;0.00448
59;2019;0.00584;0.00432
60;2011;0.00684;0.00541
60;2012;0.00711;0.00544
60;2013;0.00713;0.00535
60;2014;0.00698;0.0051
60;2015;0.00708;0.00503
60;2016;0.00681;0.00507
60;2017;0.00666;0.00477
60;2018;0.00666;0.00506
60;2019;0.00634;0.00455
61;2011;0.00747;0.00562
61;2012;0.00781;0.00598
61;2013;0.00806;0.00544
61;2014;0.00792;0.00578
61;2015;0.00771;0.00581
61;2016;0.00777;0.00533
61;2017;0.00762;0.00547
61;2018;0.00715;0.0055
61;2019;0.00663;0.00516
62;2011;0.00841;0.00574
62;2012;0.00888;0.00587
62;2013;0.00811;0.00667
62;2014;0.00851;0.00566
62;2015;0.00854;0.00649
62;2016;0.00836;0.00635
62;2017;0.00775;0.00623
62;2018;0.00804;0.00603
62;2019;0.00789;0.00574
63;2011;0.00945;0.00672
63;2012;0.00957;0.00685
63;2013;0.00923;0.00675
63;2014;0.0092;0.00678
63;2015;0.00918;0.00674
63;2016;0.00935;0.00673
63;2017;0.00912;0.00642
63;2018;0.00902;0.0066
63;2019;0.0079;0.00608
64;2011;0.01097;0.00713
64;2012;0.01076;0.00693
64;2013;0.01057;0.00728
64;2014;0.00976;0.00683
64;2015;0.01003;0.00738
64;2016;0.01054;0.00663
64;2017;0.00991;0.00699
64;2018;0.00985;0.00675
64;2019;0.00942;0.00699
65;2011;0.01141;0.00756
65;2012;0.01171;0.00852
65;2013;0.01137;0.00766
65;2014;0.01097;0.0074
65;2015;0.01131;0.00762
65;2016;0.01098;0.00799
65;2017;0.01089;0.00706
65;2018;0.01086;0.00789
65;2019;0.01011;0.00721
66;2011;0.01401;0.00904
66;2012;0.01278;0.00852
66;2013;0.01256;0.00859
66;2014;0.01148;0.00835
66;2015;0.01249;0.00853
66;2016;0.01202;0.00818
66;2017;0.01148;0.0086
66;2018;0.01208;0.00841
66;2019;0.01176;0.00787
67;2011;0.01396;0.00974
67;2012;0.01441;0.00917
67;2013;0.01418;0.0085
67;2014;0.01299;0.009
67;2015;0.01361;0.00908
67;2016;0.01357;0.00911
67;2017;0.01249;0.00887
67;2018;0.01315;0.0086
67;2019;0.01212;0.00877
68;2011;0.01522;0.00983
68;2012;0.01611;0.01031
68;2013;0.01598;0.01031
68;2014;0.01481;0.00963
68;2015;0.01476;0.0102
68;2016;0.01476;0.01026
68;2017;0.01415;0.00907
68;2018;0.01421;0.00927
68;2019;0.01331;0.01017
69;2011;0.01804;0.0108
69;2012;0.01729;0.01085
69;2013;0.01749;0.01108
69;2014;0.0169;0.0109
69;2015;0.01628;0.01071
69;2016;0.01612;0.01093
69;2017;0.01544;0.01057
69;2018;0.01565;0.00988
69;2019;0.01547;0.01012
70;2011;0.01932;0.01252
70;2012;0.01993;0.01165
70;2013;0.01931;0.01223
70;2014;0.01821;0.01177
70;2015;0.01911;0.01211
70;2016;0.0176;0.01171
70;2017;0.01732;0.01131
70;2018;0.01724;0.01174
70;2019;0.01669;0.01219
71;2011;0.02034;0.01301
71;2012;0.02123;0.01367
71;2013;0.02141;0.0125
71;2014;0.01981;0.01295
71;2015;0.0214;0.01371
71;2016;0.02048;0.01329
71;2017;0.01891;0.01282
71;2018;0.01852;0.01281
71;2019;0.01766;0.01248
72;2011;0.02384;0.01411
72;2012;0.02351;0.01527
72;2013;0.0231;0.01363
72;2014;0.02184;0.01473
72;2015;0.02264;0.01452
72;2016;0.02191;0.01446
72;2017;0.02196;0.01429
72;2018;0.02163;0.01403
72;2019;0.02004;0.01369
73;2011;0.0262;0.01577
73;2012;0.02635;0.01503
73;2013;0.02531;0.01516
73;2014;0.02375;0.01538
73;2015;0.02387;0.01478
73;2016;0.02439;0.01545
73;2017;0.02371;0.01554
73;2018;0.02399;0.0163
73;2019;0.02239;0.01514
74;2011;0.0295;0.0185
74;2012;0.02884;0.01686
74;2013;0.02999;0.018
74;2014;0.02686;0.01693
74;2015;0.02809;0.01712
74;2016;0.02715;0.01749
74;2017;0.02627;0.01713
74;2018;0.02651;0.01794
74;2019;0.02557;0.01768
75;2011;0.03371;0.01986
75;2012;0.03221;0.02007
75;2013;0.03065;0.01909
75;2014;0.02943;0.01885
75;2015;0.03143;0.01888
75;2016;0.03024;0.01882
75;2017;0.02953;0.01882
75;2018;0.02925;0.01864
75;2019;0.02883;0.0187
76;2011;0.0375;0.02337
76;2012;0.03594;0.02293
76;2013;0.03509;0.02193
76;2014;0.03338;0.0211
76;2015;0.0344;0.02119
76;2016;0.03343;0.02183
76;2017;0.03227;0.02183
76;2018;0.0318;0.02202
76;2019;0.03127;0.02184
77;2011;0.0418;0.0259
77;2012;0.04067;0.02475
77;2013;0.03953;0.02423
77;2014;0.03776;0.02393
77;2015;0.03656;0.02422
77;2016;0.03729;0.02386
77;2017;0.03544;0.02455
77;2018;0.03616;0.02405
77;2019;0.03487;0.0233
78;2011;0.04668;0.02817
78;2012;0.04761;0.02855
78;2013;0.04444;0.02725
78;2014;0.04151;0.02668
78;2015;0.04332;0.02806
78;2016;0.04181;0.02751
78;2017;0.03916;0.02646
78;2018;0.03881;0.02777
78;2019;0.03774;0.02631
79;2011;0.05364;0.03112
79;2012;0.05382;0.03249
79;2013;0.04989;0.03103
79;2014;0.04829;0.03052
79;2015;0.049;0.03062
79;2016;0.04713;0.03033
79;2017;0.0457;0.02987
79;2018;0.04482;0.02993
79;2019;0.04439;0.02977
80;2011;0.05987;0.03682
80;2012;0.05994;0.03717
80;2013;0.05762;0.03779
80;2014;0.05532;0.03325
80;2015;0.05442;0.03673
80;2016;0.05405;0.03527
80;2017;0.05367;0.03443
80;2018;0.05199;0.03413
80;2019;0.05157;0.03368
81;2011;0.06966;0.04307
81;2012;0.0649;0.04339
81;2013;0.06491;0.043
81;2014;0.06087;0.03835
81;2015;0.06355;0.04173
81;2016;0.06118;0.03876
81;2017;0.06072;0.03947
81;2018;0.05526;0.03873
81;2019;0.05554;0.03821
82;2011;0.07771;0.0493
82;2012;0.07807;0.0487
82;2013;0.07361;0.0463
82;2014;0.06967;0.04516
82;2015;0.07024;0.04706
82;2016;0.06797;0.04733
82;2017;0.06651;0.04551
82;2018;0.06791;0.0446
82;2019;0.06345;0.04452
83;2011;0.08243;0.057
83;2012;0.08247;0.05483
83;2013;0.08125;0.0537
83;2014;0.07679;0.05463
83;2015;0.07892;0.05461
83;2016;0.08106;0.05156
83;2017;0.07415;0.05315
83;2018;0.07365;0.05318
83;2019;0.07127;0.05039
84;2011;0.09176;0.06363
84;2012;0.09552;0.0642
84;2013;0.09117;0.06154
84;2014;0.08608;0.06001
84;2015;0.08898;0.06077
84;2016;0.08748;0.06031
84;2017;0.0863;0.0593
84;2018;0.08305;0.05872
84;2019;0.08253;0.05823
85;2011;0.10312;0.07043
85;2012;0.10863;0.07122
85;2013;0.10206;0.06964
85;2014;0.09943;0.06643
85;2015;0.09994;0.07028
85;2016;0.10098;0.07014
85;2017;0.09951;0.07087
85;2018;0.09376;0.06952
85;2019;0.09362;0.06584
86;2011;0.1126;0.08317
86;2012;0.11441;0.08389
86;2013;0.11489;0.08294
86;2014;0.11217;0.07935
86;2015;0.11754;0.08256
86;2016;0.11382;0.07964
86;2017;0.11168;0.07876
86;2018;0.11164;0.08159
86;2019;0.10755;0.07686
87;2011;0.12537;0.09331
87;2012;0.13256;0.09608
87;2013;0.1271;0.09443
87;2014;0.11976;0.08966
87;2015;0.12607;0.0942
87;2016;0.12659;0.09346
87;2017;0.12301;0.092
87;2018;0.12279;0.09371
87;2019;0.11852;0.08756
88;2011;0.14094;0.10577
88;2012;0.14134;0.10691
88;2013;0.14788;0.10849
88;2014;0.13788;0.09873
88;2015;0.13996;0.10775
88;2016;0.14037;0.10596
88;2017;0.13999;0.10915
88;2018;0.14195;0.10502
88;2019;0.14004;0.10107
89;2011;0.16272;0.11776
89;2012;0.15474;0.11705
89;2013;0.15735;0.11732
89;2014;0.14999;0.11738
89;2015;0.15195;0.12382
89;2016;0.1558;0.12046
89;2017;0.15491;0.12087
89;2018;0.15732;0.1254
89;2019;0.15037;0.11573
90;2011;0.16977;0.13303
90;2012;0.1823;0.13826
90;2013;0.1682;0.13739
90;2014;0.16733;0.13083
90;2015;0.1726;0.13433
90;2016;0.17104;0.13988
90;2017;0.17323;0.14012
90;2018;0.18123;0.13453
90;2019;0.17111;0.13678
91;2011;0.18929;0.14715
91;2012;0.2029;0.15742
91;2013;0.19532;0.15076
91;2014;0.18006;0.15489
91;2015;0.19925;0.15355
91;2016;0.19804;0.15813
91;2017;0.18896;0.15001
91;2018;0.19571;0.15635
91;2019;0.19152;0.15317
92;2011;0.21226;0.17376
92;2012;0.21451;0.18162
92;2013;0.22245;0.17064
92;2014;0.20702;0.16671
92;2015;0.20847;0.17701
92;2016;0.21354;0.1737
92;2017;0.20671;0.17945
92;2018;0.21295;0.17848
92;2019;0.20744;0.17011
93;2011;0.22959;0.18566
93;2012;0.23509;0.18852
93;2013;0.23532;0.19259
93;2014;0.23508;0.18497
93;2015;0.2535;0.19848
93;2016;0.22935;0.19364
93;2017;0.23175;0.20136
93;2018;0.23114;0.20248
93;2019;0.23548;0.19273
94;2011;0.2512;0.208
94;2012;0.26948;0.21775
94;2013;0.25901;0.21462
94;2014;0.24684;0.20392
94;2015;0.26143;0.21964
94;2016;0.25109;0.21424
94;2017;0.25963;0.23054
94;2018;0.26255;0.2222
94;2019;0.24119;0.2124
95;2011;0.25144;0.23053
95;2012;0.29572;0.23271
95;2013;0.27881;0.2305
95;2014;0.25517;0.22558
95;2015;0.27861;0.23579
95;2016;0.29047;0.24386
95;2017;0.27023;0.23742
95;2018;0.28567;0.24917
95;2019;0.27764;0.23521
96;2011;0.30168;0.24602
96;2012;0.31075;0.25899
96;2013;0.29597;0.26689
96;2014;0.29738;0.25548
96;2015;0.29823;0.26379
96;2016;0.30975;0.2662
96;2017;0.31625;0.26417
96;2018;0.31253;0.26724
96;2019;0.3018;0.2586
97;2011;0.30383;0.27028
97;2012;0.30539;0.2803
97;2013;0.33569;0.27305
97;2014;0.30752;0.26546
97;2015;0.31342;0.29089
97;2016;0.29948;0.2966
97;2017;0.33591;0.30175
97;2018;0.31726;0.3039
97;2019;0.30533;0.28224
98;2011;0.33792;0.27367
98;2012;0.37866;0.30407
98;2013;0.36449;0.32945
98;2014;0.34752;0.31275
98;2015;0.35418;0.3136
98;2016;0.32562;0.30339
98;2017;0.35422;0.30478
98;2018;0.33859;0.31418
98;2019;0.35356;0.31058
99;2011;0.39917;0.34497
99;2012;0.37524;0.36187
99;2013;0.40539;0.36335
99;2014;0.39433;0.36589
99;2015;0.41998;0.37453
99;2016;0.37775;0.35994
99;2017;0.42004;0.38366
99;2018;0.36676;0.37089
99;2019;0.40244;0.34692
